old                                      new                                      ref
5810f60d90189e9081a68dadfad02a156e28c43e 3a56a222e3b5365c7af3cfaf0f21f45e78077d4b refs/heads/session/2026-07-19
825269c4d78999ddfa2f1e7110bc95c84e0c0d88 bd73f1c63f4b2c761a2f22a19b5a17bd0697b147 refs/heads/session/2026-07-20-wrap
f2743bca8cb494f2a62818523afc9026f0ed8bde d11efc3a7027af6bfbd6f9fdf966a488020e38b2 refs/heads/session/2026-07-23
2e893ec6da6be00244603b79071564ddaedc79bc ccbd89645f25e4f54f37f0958d006c19d789507a refs/heads/session/2026-07-23-tracker-1.1.0-reconcile
4de193461a3b8b5c1654d0b7327f926dfdcde030 9f650dce2f36d653f34242ed7add16579116adf0 refs/heads/session/2026-07-25
557be5f362a5b3b6f5d57e7092c70fe2c851fc73 20e290aab5158aead57593d7c1db389f2863062a refs/heads/session/2026-07-29
c3b8654f4845042c28c80a0799edfdb0ca637185 52769a641cbccc76c88067f0a78bb664f9310b15 refs/heads/session/2026-07-31
74a6d7508a0f4f0d3bf3f608af50c92422d3e635 cf33f40d7d0c28e010bb9851b4cd854eb67a146d refs/heads/session/2026-08-29
f07fcfe042bce3df00827576ea12cc83514aa7ab f25a04b7eaf162d333f16878ea2e4f0357d5ace1 refs/heads/sprint/ED-060-agy-liveness-20260720
85a63138ad7eb6ebb1e1cb52bf955ad664079eb6 1ee5e289c3073e7842fb86f4db0b83f5fc57ef04 refs/heads/sprint/SP-20260518-007
c305b555e0d7866b0e5b84602331831e4629ed5d f3cedda898649158e2aecdb3555227b23dee48f2 refs/heads/sprint/SP-20260518-009
92ea2acb634fbe2e57ad6482126cfb336fd303f3 cd11eebf683a6cf96d597de763f8835472515de6 refs/heads/sprint/SP-20260528-001
67b32c57b64993240c1af67432150bdbb603c39c 94823a0afafca98b56488a3b4294708fa5a04c26 refs/heads/sprint/SP-20260531-003
39acab5ab4dc5471e27749465cc32dd9f120b60a 1b70dec66f915f37d046532013b527dee54a5351 refs/heads/sprint/SP-20260611-001
e5e5ac9f146a861987b907de5824973f0edd4484 81efea70f4a76af7f714d3106b2df1e8d31423f4 refs/heads/sprint/SP-20260611-002
34b74ac3c56919084e565f7d198b29a5a6f6077e 904dd5da487f174064d6d87e2de948d48610fc9b refs/heads/sprint/SP-20260619-001-<slug>-genericize
135d89f2aadc4cf4f7e783f9d360cd6a309e6c4b ad6b768d6ab42ffbb572c07172b8f2e802783a0d refs/heads/sprint/SP-20260717-001-builder
74511ac91a776dd04cceded7cadd0265ab62b656 3edce882440e21f3ef490d150721a60231f802ea refs/heads/sprint/SP-20260718-001-kernel
ef2f3aea7840508bd3a229390531e7df70e94a97 0b2bf5951f54e2bfb2ff6a258b8352e919dc470f refs/heads/sprint/SP-20260718-004-phase2
a1ecfc29f9da57bfc1e14dec5ae0bf8048f3656a e51932121db455b00f172cfe9bf2414ac5e797fd refs/heads/sprint/SP-20260718-005-phase3
f21dec08d24bc70102a5d24adcbffe7795042d41 29560496e7dbbdad30b363122cf8e284330f131b refs/heads/sprint/SP-20260719-001-agy-idmap
766fa90ae058517832923c053ec60788ccde6fde d78a7bf2f445a74f0022a78e73b65d7ecffaa463 refs/heads/sprint/SP-20260720-003
65b7f2351c7e2b505c453b8272aca9971e829062 f3fd8e3ec8ca1a888f92b60dc3f2bec0e3c7dff2 refs/heads/sprint/SP-20260721-001-inc2
7d19424f868969a1cdc1d33282b315c3c96bf9c9 b2a1cdfb3fd819f670ebe68c597a53e8fa7903d7 refs/heads/sprint/SP-20260721-001-inc3
d9342814a76103686c03e28ed8c6c7ca662b96b9 f256c96017377aa955488079efe7fae830900d47 refs/heads/sprint/SP-20260724-001-enforcer-cluster
b877096f78a6de6b77114dc5d2ea737b6193a210 45095faf5fba9a15bb3b4265ec0fe222b891c7b6 refs/heads/sprint/SP-20260725-001-ed286-fix
b7819c96558b3b1783b283c019153bedb183647e 494e23dd045462c7fbbe5e82dfcfedb03e856afb refs/heads/sprint/gemini-deepclean-20260720
0061b6aa82ff502d9cc93c4aa28c4f5262fb701b 2af07072797d8351c46cd1b40832b90f9658a4ae refs/heads/warp/s7-renames-both-layers
03cf48cd1381eac9965c889b6d048e459c7cab59 d0363daacbc4d2a79a89773ffeead2d8ac24b7b9 refs/heads/warpos-flag-reconcile-gapfix
44b17de07130083d89ee0c30df9eecd9374cdd83 76c66ca7e44145972e81586e9121121df5990476 refs/heads/wt/SP-20260611-002-W1FIX
7f427eaa78040305b0c2bef25b684e4ae04dce67 390d64261c5702c72b5fd3f0ea86b5692ae59569 refs/heads/wt/SP-20260611-002-WSG1
956e3f326660f042e761d468976e99824ea4e0ed 7867e914494748b435442d75d5fd5eed94b117cc refs/heads/wt/SP-20260611-002-WSG2
21f38b51024f910cf0405ea65d2dc2e8d09372f9 c2e502faaea1d54cd68624894c3746f1c8dcbbde refs/heads/wt/SP-20260611-002-WSG3a
86452994d68bf94fa4574c989089d5306b064224 ebe108af0cdcda478f49a78030cf78e04fb9706b refs/heads/wt/SP-20260611-002-WSG3b
8d734f30625cb2a3ebaf21b30ae72bb2fc7803e4 dbd361ab9c26ae108d3d2247b053d60179c4ca0c refs/heads/wt/SP-20260611-002-WSG3c
154868e95ec9ee1d9c5089c820dbead9b68a1ed7 2a1eb3d44fbeaa21d29e1091043e8d663fd03420 refs/heads/wt/SP-20260619-001-build
34d9c44428f241e47353fc191bebe14f534f7a10 bf6925a116e72f56fb3f74e29fc17734ad15db05 refs/tags/sprint/SP-20260518-009/RL-20260519-013
25b1df8c686486ed43edefe2c900ed1672d4478b 25b1df8c686486ed43edefe2c900ed1672d4478b refs/tags/v0.1.1
c8894248faf01310f70d37ead0737996241d3139 c8894248faf01310f70d37ead0737996241d3139 refs/tags/v0.2.0
266477338d0c56fd1595ea4a7c97ed756c92d270 266477338d0c56fd1595ea4a7c97ed756c92d270 refs/tags/warpos@0.1.3
de9ba8ebdfd286a4fbf50113b379fce2f3c99899 de9ba8ebdfd286a4fbf50113b379fce2f3c99899 refs/tags/warpos@0.1.4
9e30f6dd26c19a57ae6c54e92e101846e978272b 55a739eec1f595535d0ffddca2b0cdc40a428433 refs/tags/warpos@0.10.0
58d7fd54263b9b8c7a586c756139b67db0512dfd 1f3fa780bced2077adff06197165a17aefce5361 refs/tags/warpos@0.11.0
c43804dc0864d7a5735e4e0d61d0605e2f5379e7 dabdebf9db02b7c9b9292d4853a60ac4c842d3ae refs/tags/warpos@0.11.1
57c130ca7dd707b0a788f6c80cdda23d61b974b4 7a937b9dd3a8a1eb58ce226ed09c9485b219ad78 refs/tags/warpos@0.12.0
3bb4dc60ac75b0af18378b89b3e71862d15bdeec 2288fb0b52abd0a63e76c8fc5feb0474410515c6 refs/tags/warpos@0.12.1
6b3ff810877ba74adec57f58cf1d9bdd4b850d5f 9aa03d3c36e49f2ae3bc6aec671b201406d41b91 refs/tags/warpos@0.13.0
3b00037b3a406a2b0238114bac2ba9b823e28525 94ab1fb766c7f4c175222b1f7a65f0500364ab55 refs/tags/warpos@0.13.1
0650e5893d1f03385ad3b9ad83da7630e3f2e831 4296384cbb261bff646051b53fa15713bfdc0990 refs/tags/warpos@0.14.0
f015b2cf8d4ee57030075e215112f21a4e5c84c7 67ffb7cb995488d90fd6c8dd95cf8fb6e67eab39 refs/tags/warpos@0.15.0
a6e44f68c926ef3d86a7e81c2946e17e28f68e87 88f23072f508848cc5ee0a11b4f6368170e63718 refs/tags/warpos@0.15.1
8dc3facd46d94cbdeb03be21410493ae2d8752df d18af15f4245ec6f7721db2730d91620d39d7054 refs/tags/warpos@0.15.2
930110dce2d2baeec007d7b7d522d2e10e0ab963 f3dcfec9af014b638f44e6152877e89698cb220b refs/tags/warpos@0.15.3
36e59a26495aeb99d8be88f21356b94d689a6761 567b64c6e4d93ce454c55e30d3d9fcbef80bf69a refs/tags/warpos@0.15.4
8e2cb64ae3a74f0c51b63467e077b618bc1450c5 6367894faa68894e6a1b92eb0b4bfdf17c446cb3 refs/tags/warpos@0.16.0
a6a30f7039a959ae893676b475f6aa74a2f7537b 8590c4d7d84c66fa05832e7da0f89932d774bd00 refs/tags/warpos@0.17.0
38adbda21f6e50f89252b37a8dffc6ca38d985f2 38adbda21f6e50f89252b37a8dffc6ca38d985f2 refs/tags/warpos@0.2.1
c501c8ea85944063f8027023ad1fb2830d2ae881 c501c8ea85944063f8027023ad1fb2830d2ae881 refs/tags/warpos@0.2.2
c67429026716ab19ec7139b98a6ebbb75ba28a19 c67429026716ab19ec7139b98a6ebbb75ba28a19 refs/tags/warpos@0.4.0
68cf2d28170269018d8533974c24efb9b8641bf1 68cf2d28170269018d8533974c24efb9b8641bf1 refs/tags/warpos@0.4.1
23946bac7340bd89da1f29cd8caac8a75a7a58be 23946bac7340bd89da1f29cd8caac8a75a7a58be refs/tags/warpos@0.4.2
5199b7d7e5d81921d4b6be11e95bdc22c9fe5b62 5199b7d7e5d81921d4b6be11e95bdc22c9fe5b62 refs/tags/warpos@0.4.3
0f52973867c0315fcbc6d192b41bc4c36c0b3448 0f52973867c0315fcbc6d192b41bc4c36c0b3448 refs/tags/warpos@0.4.4
01c9bc599788319d84235bab9e8458cb33c5ecc9 01c9bc599788319d84235bab9e8458cb33c5ecc9 refs/tags/warpos@0.5.0
425570a14678cc8e2ef1ee213c10075ed5aa9292 375594a4de774d33b3a88765297a1c58c7adac59 refs/tags/warpos@0.6.0
40b3615e9e6314bce5ad44941e484d7de15a9139 231ac47cefbb27c3dbea683c6f479790aa551882 refs/tags/warpos@0.6.1
8ee17cc8b8dd153989774b69b71548987e254618 6581b056d852c26222878ad5f8d33f48904174a4 refs/tags/warpos@0.7.0
b48145cc919ecc91bf0f9a468bdec6505a9b47d1 fcb8557878a26074541b85759245b38e6841cbc3 refs/tags/warpos@0.7.1
84758fba263a8793ff1412f65da2efe91de7e722 b504703fb7124ec41b0cc895f3be57be3f16132d refs/tags/warpos@0.7.2
0e927bc459e8fc27220a480c290309da93f41100 8101f2dca96cb83e3c23b247c8d52b0a26e71b64 refs/tags/warpos@0.8.0
d13e57c0169c0a82b17090699ca6d2486ca461d4 24bef6f4ee0593b0fa6d5d18678bbb28e420de84 refs/tags/warpos@0.8.1
7eb4ee4286776c74d0520748b6d3b91e760790c5 ba8fb639476012bb2734f6afd5eb2613550c89df refs/tags/warpos@0.8.2
ef24d2edffb29cda144164df8f3189ff24d4a1aa 617719cb74154b3e5beae562d48b63b29b2c5762 refs/tags/warpos@0.9.0
aec7120d04f676b82549517367cd852b6c279696 7cf3d345f7d4776438d80ea56afb71e6b9ad646e refs/tags/warpos@1.0.0
a120337e55a531e2d488897ba5b3a7e1a170162b 2d8e66617a949d7963eea857fe0e6ef504602902 refs/tags/warpos@1.1.0
4af0ef59e5190a45c54f9c5516928e3c6774f6a0 b76e18f9082ca13fbeb2dc5d51dd14b554e0a65b refs/tags/warpos@1.2.0
